0 ['gefängnis', 'zelle', 'verhaften', 'bautzen', 'verurteilen', 'tag', 'russe', 'entlassen', 'cottbus', 'einsperren', 'russisch', 'iphe', 'spät', 'offizier', 'verhören', 'gefangener', 'verhaftung', 'deutsch', 'politisch', 'waldheim', 'unterschreiben', 'werwolf', 'westen', 'haft', 'sowjetisch', 'stasi', 'ddr', 'intavp', 'keller', 'verhör', 'vernehmung', 'zuchthaus', 'wussen', 'entlassung', 'erfahren', 'lager', '25', 'ehemalig', 'zeit', 'woche', 'sogenannter', 'zellen', 'berlin', 'polizei', 'halle', 'drüben', 'westberlin', 'saal', 'protokoll', 'dolmetscherin']
32 ['wasser', 'waschen', 'winter', 'kalt', 'wäsche', 'ofen', 'warm', 'schnee', 'sommer', 'heizen', 'sauber', 'tag', 'holz', 'heiß', 'zeit', 'baden', 'bett', 'essen', 'läuse', 'toilette', 'zimmer', 'seife', 'eimer', 'kochen', 'kohle', 'schlafen', 'raum', 'waschmaschine', 'erinnern', 'feuer', 'mussen', 'kälte', 'decken', 'richtig', 'arbeit', 'füße', 'stroh', 'bad', 'licht', 'keller', 'küche', 'nass', 'decke', 'heizung', 'gefroren', 'haus', 'duschen', 'trinken', 'brunnen', 'eis']

33 ['gewerkschaft', 'betriebsrat', 'betrieb', 'kollege', 'wählen', 'vorsitzend', 'mitglied', 'gewerkschaftlich', 'arbeit', 'ig', 'essen', 'streik', 'angestellter', 'metall', 'belegschaft', 'spät', 'frage', 'firma', 'vorstand', 'herr', 'dgb', 'hauptamtlich', 'mitbestimmung', 'organisieren', 'politisch', 'arbeitgeber', 'zeit', 'betriebsverfassungsgesetz', 'arbeiter', 'arbeitsplatz', 'aeg', 'versammlung', 'gesetz', 'vertreten', 'wahl', 'arbeitnehmer', 'ehrenamtlich', 'aufsichtsrat', 'riegel', 'christlich', 'spd', 'betreiben', 'kpd', 'anfang', 'ötv', 'zweiter', 'funktion', 'deutsch', 'durchsetzen', 'beschäftigen']

34 ['firma', 'industrie', 'unternehmen', 'bauen', 'unternehmer', 'betrieb', 'technisch', 'prozent', 'düsseldorf', 'frage', 'wirtschaft', 'entwicklung', 'wirtschaftlich', 'handelskammer', 'herstellen', 'deutsch', 'bereich', 'geschichte', 'million', 'herr', 'kriege', 'präsident', 'interessant', 'gründen', 'verkaufen', 'gehören', 'geschäft', 'kohle', 'bank', 'organisation', 'deutschland', 'produzieren', 'nennen', 'verhältnis', 'hagen', 'markt', 'geschäftsführer', 'aufbauen', 'kammer', 'siemens', 'liefern', 'stahlwerk', 'maschine', 'schwierigkeit', 'kraftwerk', 'duisburg', 'vernünftig', 'übernehmen', 'gesellschaft', 'stahl']

35 ['arbeit', 'fabrik', 'maschine', 'meister', 'werk', 'betrieb', 'schwer', 'arbeiter', 'bochumer', 'verein', 'werkstatt', 'herstellen', 'lernen', 'schlosser', 'hand', 'krieg', 'schicht', 'bauen', 'tag', 'ingenieur', 'stunde', 'reparieren', 'firma', 'vorarbeiter', 'zeit', 'abteilung', 'verschieden', 'halle', 'kran', 'chef', 'eisen', 'werkzeug', 'kaputt', 'verdienen', 'drehen', 'kennen', 'produktion', 'bochum', 'akkord', 'dreher', 'arbeitsplatz', 'metall', 'einsetzen', 'material', 'beschäftigen', 'elektriker', 'anfang', 'büro', 'schmied', 'spät']

36 ['mädchen', 'freund', 'freundin', 'treffen', 'kennen', 'heiraten', 'wohnen', 'spät', 'tanzen', 'eltern', 'kontakt', 'schön', 'nett', 'jungs', 'lernen', 'liebe', 'besuchen', 'freundschaft', 'lachen', 'jugend', 'befreundet', 'verheiraten', 'unterhalten', 'gruppe', 'richtig', 'verloben', 'zeit', 'mädels', 'streng', 'kino', 'haus', 'verlieben', 'gerne', 'mädel', 'abend', 'beziehung', 'trennen', 'schule', 'schwester', 'freundinn', 'woche', 'einladen', 'fest', 'gemeinsam', 'lieben', 'wussen', 'zuhause', 'abends', 'befreunden', 'reden']

37 ['mensch', 'gott', 'schwer', 'kind', 'zeit', 'angst', 'helfen', 'schlimm', 'hören', 'passieren', 'sterben', 'reden', 'verlieren', 'fühlen', 'schrecklich', 'welt', 'überleben', 'wussen', 'versuchen', 'vergessen', 'weinen', 'tod', 'gefühl', 'fallen', 'tag', 'leid', 'geschehen', 'moment', 'schaffen', 'geschichte', 'treffen', 'schlecht', 'lieben', 'zeigen', 'erleben', 'auge', 'normal', 'frage', 'erinnern', 'träumen', 'letzter', 'hoffen', 'schuld', 'retten', 'hoffnung', 'krieg', 'kopf', 'schauen', 'glück', 'schön']

38 ['kind', 'tochter', 'sohn', 'heiraten', 'gebären', 'verheiraten', 'familie', 'zweiter', 'wohnen', 'sterben', 'enkel', 'wohnung', 'kennen', 'lernen', 'spät', 'mutter', 'schwiegermutter', 'scheiden', 'mädchen', 'schön', 'haus', 'schwanger', 'hochzeit', 'eltern', 'söhne', 'schwiegervater', 'töchter', 'zeit', 'welt', 'schwiegersohn', 'tag', 'arbeit', 'enkelin', 'dritter', 'schwester', 'geburt', 'schwiegertochter', 'schwer', 'lieben', 'rente', 'scheidung', 'fallen', 'enkelkind', 'vater', 'studieren', 'glücklich', 'trennen', 'beruf', 'geld', 'heirat']

