0 ['jüdisch', 'jude', 'erinnern', 'religiös', 'synagoge', 'hebräisch', 'israel', 'vater', 'familie', 'rabbiner', 'jiddisch', 'gemeinde', 'nennen', 'orthodox', 'synagog', 'ort', 'rabbi', 'lernen', 'kind', 'stadt', 'schabbat', 'feiertag', 'beten', 'pessach', 'kippur', 'religion', 'mensch', 'fest', 'zuhause', 'schule', 'jom', 'jeschiwa', 'essen', 'ungarisch', 'gebet', 'spät', 'schwester', 'befinden', 'art', 'bar', 'mädchen', 'bruder', 'helfen', 'tora', 'fromm', 'rosch', 'nichtjude', 'cheder', 'ungarn', 'kosch']
32 ['gruppe', 'schäfer', 'mädchen', 'gruppentante', 'schlimm', 'jungs', 'zeit', 'spät', 'schlagen', 'kind', 'küche', 'kinderhaus', 'richtig', 'krankenhaus', 'sogenannter', 'saal', 'system', 'mussen', 'acker', 'bestrafen', 'heilsarmee', 'paul', 'gemeinde', 'neukra', 'gesa', 'strafe', 'wahnsinnig', 'tag', 'melden', 'kolonie', 'verstecken', 'merken', 'gerne', 'hühnerstall', 'normal', 'schlafen', 'manfred', 'fühlen', 'nachts', 'nennen', 'bett', 'wusstest', 'bäckerei', 'zwischendurch', 'tante', 'chefin', 'täter', 'zelt', 'alter', 'erinnern']

33 ['mädchen', 'freundin', 'tanzen', 'freund', 'schön', 'kennen', 'jungs', 'treffen', 'liebe', 'nett', 'spät', 'eltern', 'lernen', 'richtig', 'heiraten', 'jugend', 'streng', 'lieben', 'verlieben', 'freundschaft', 'freundinn', 'tanz', 'abend', 'wohnen', 'mädels', 'mädel', 'fest', 'jungens', 'kino', 'lieb', 'verheiraten', 'befreundet', 'abends', 'gerne', 'einladen', 'lachen', 'hübsch', 'sexualität', 'wussen', 'ausgehen', 'freundinnen', 'hören', 'aufklären', 'heimlich', 'erinnern', 'freundinne', 'nah', 'trennen', 'gehören', 'jugendlich']

34 ['hamburg', 'bremen', 'hannover', 'kiel', 'hamburger', 'berlin', 'wohnen', 'schleswig', 'flensburg', 'lübeck', 'altona', 'braunschweig', 'niedersachsen', 'holstein', 'heide', 'schleswigholstein', 'nähe', 'hildesheim', 'elbe', 'lüneburger', 'landen', 'bauer', 'norddeutschland', 'bremer', 'harburg', 'überlegen', 'elmshorn', 'norddeutsch', 'eckernförde', 'freundin', 'dänemark', 'woanders', 'bayern', 'celle', 'autobahn', 'ecke', 'peter', 'lüneburg', 'norden', 'besuch', 'eppendorf', 'ursprünglich', 'schwerin', 'kaufmann', 'englisch', 'neumünster', 'dreiviertel', 'zeven', 'hwp', 'doll']

35 ['polen', 'polnisch', 'deutsch', 'pole', 'grenze', 'deutschland', 'schlesien', 'krieg', 'warschau', 'deutsche', 'familie', 'gebiet', 'flüchtling', 'breslau', 'krakau', 'sprache', 'heimat', 'land', 'wohnen', 'stadt', '1939', 'pos', 'ostpreuß', 'russe', 'gehören', 'flüchten', 'osten', 'russisch', 'polin', 'nennen', 'lodz', 'russland', 'fliehen', 'westen', 'litauen', 'zweiter', 'aufstand', 'ostpreußen', 'regierung', 'oberschlesi', 'schlesier', 'bevölkerung', 'geschichte', '39', 'anfang', 'versuchen', 'stammen', 'schlesisch', 'bürger', 'volksdeutsch']

36 ['zug', 'bahnhof', 'tag', 'bus', 'koffer', 'straßenbahn', 'fuß', 'warten', 'unterwegs', 'kilometer', 'stadt', 'ankommen', 'stunde', 'bahn', 'abholen', 'richtung', 'treffen', 'auto', 'straße', 'fahrrad', 'zeit', 'grenze', 'packen', 'spät', 'übernachten', 'abends', 'fahrkarte', 'essen', 'umsteigen', 'nähe', 'morgens', 'ausgestiegen', 'mussen', 'abend', 'wohnen', 'fahrt', 'station', 'gepäck', 'strecke', 'geld', 'anrufen', 'platz', 'schön', 'zeigen', 'aussteigen', 'papier', 'nachts', 'hauptbahnhof', 'berlin', 'hotel']

37 ['schreibmaschine', 'gustav', 'nürnberg', 'tippen', 'adolf', 'diktieren', 'werk', 'computer', 'überlegen', 'komma', 'telefon', 'frieden', 'herz', 'fünfziger', 'sekretärin', 'stress', 'dienstherr', 'welt', 'nr', 'abhören', 'zahnpasta', 'student', 'fallen', 'parteitag', 'streng', 'diktiergerät', 'diktat', 'urlauber', 'fleißig', 'rohrscheidt', 'übertragen', 'karton', 'artikel', 'linie', 'vertretung', 'olpe', 'ger', 'wi', 'großzügig', 'wählen', 'ulrike', 'rudolf', 'raum', 'hummel', 'sechziger', 'klingeln', 'befund', 'stärke', 'stenografiere', 'steiner']

38 ['mutter', 'vater', 'großvater', 'großmutter', 'familie', 'großeltern', 'eltern', 'kind', 'sterben', 'oma', 'opa', 'gebären', 'großelter', 'kennen', 'haus', 'mütterlicherseits', 'väterlicherseits', 'onkel', 'schwester', 'stammen', 'heiraten', 'bruder', 'weltkrieg', 'zweiter', 'wohnen', 'krieg', 'zeit', 'erinnern', 'erinnerung', 'kindheit', 'brüder', 'geschwister', 'generation', 'verwandtschaft', 'lernen', 'söhne', 'urgroßvater', 'aufwachsen', 'spät', 'üblich', 'vorfahren', 'sohn', 'nennen', 'land', 'bauernhof', 'relativ', 'mütterlich', 'tant', 'gehören', 'verlieren']

