0 ['mutter', 'kind', 'oma', 'vater', 'erinnern', 'eltern', 'opa', 'haus', 'kindheit', 'erinnerung', 'schwester', 'familie', 'großeltern', 'großmutter', 'zeit', 'wohnen', 'bruder', 'schule', 'spät', 'großelter', 'richtig', 'schön', 'geschwister', 'dorf', 'zuhause', 'gebären', 'krieg', 'sterben', 'garten', 'tante', 'großvater', 'onkel', 'hof', 'gewohnen', 'puppe', 'straße', 'alter', 'gerne', 'verbringen', 'erwachsen', 'tant', 'prägen', 'papa', 'schlimm', 'mama', 'spielzeug', 'zimmer', 'elf', 'freundin', 'feri']
27 ['gaststätte', 'wiktor', 'weinberg', 'fünfter', 'brjansk', 'neustadt', 'omnibus', 'andrej', 'joghurt', 'größe', 'metaponto', 'frisch', 'klinik', 'bergwerk', 'unterbringen', 'spezialabteilung', 'farbig', 'durchlaufen', 'regen', 'trommel', 'saarburg', 'grießbrei', 'ravenhorst', 'unfruchtbar', 'anischkin', 'trüb', 'bogliasco', 'rhythmus', 'neunkirchen', 'zischen', 'immendingen', 'winzig', 'hässlich', 'pigarjowo', 'keuscher', 'stadtgeograph', 'blitz', 'carrara', 'lyswa', 'komaritschi', 'herkunft', 'reisedienst', 'omnibusse', 'gamon', 'elisabethkrankenhaus', 'vermieterin', 'max', 'klopapier', 'auftragen', 'worg']

28 ['tamara', 'schwester', 'mama', 'botanisch', 'straße', 'sweta', 'kiew', 'garten', 'blind', 'pan', 'schtschekawizkaja', 'lawra', 'walentina', 'landwirt', 'halle', 'militärwerk', 'wahrsagen', 'antonowna', 'mädel', 'witja', 'aufpassen', 'miliz', 'wolodja', 'papierindustrie', 'arndt', 'niemberg', 'park', 'knast', 'mädels', 'rubel', 'melnik', 'sokirko', 'lebkuchen', 'aufhängen', 'gerbers', 'eisscholle', 'pflanze', 'lieben', 'fern', 'kontaktperson', 'minsk', 'sd', 'schneebedeckt', 'papierfabrik', 'ausschuss', 'hausherrn', 'lass', 'truhe', 'gorki', 'tuch']

29 ['hintergrund', 'quietschen', 'kreischend', 'sägegeräusch', 'geräusch', 'trudchen', 'thomas', 'durchgang', 'papierblättern', 'clara', 'vorschreiben', 'allee', 'typisch', 'hirschmann', 'feststellen', 'vorkommnisse', 'scheffler', 'seufzt', 'rasa', 'donner', 'tabula', 'zetkin', 'ruhrgebiet', 'kasernieren', 'schlagartig', 'claire', 'unvergleichlich', 'prof', 'neubrückstraße', 'chiemsee', 'abiturkurs', 'marode', 'kaufleute', 'sägengeräusche', 'handbewegung', 'stabsarzt', 'lehrersfamilie', '633', 'sägegeräusche', 'papierblätter', 'vorder', 'demokrat', 'eingriff', 'sprechend', 'nürnberg', 'barbier', 'kapelle', 'aquin', 'produkt', 'verfehlen']

30 ['keller', 'bunker', 'haus', 'bombe', 'angriff', 'krieg', 'fallen', 'kaputt', 'schlimm', 'bombenangriff', 'alarm', 'brennen', 'straße', 'zerstören', 'erleben', 'wohnen', 'treffen', 'angst', 'kind', 'hören', 'evakuieren', 'bombardieren', 'stadt', 'tot', 'spät', 'luftschutzkeller', 'ausgebombt', 'nachts', 'furchtbar', 'passieren', 'fliegeralarm', 'verbrennen', 'letzter', 'dach', 'zerbombt', 'zeit', 'mensch', 'schrecklich', 'fliegen', 'retten', 'trümmer', 'essen', 'schwer', 'fenster', 'nähe', 'gott', 'schutt', '43', 'umkommen', 'flugzeug']

31 ['ddr', 'wende', 'westen', 'osten', 'eltern', 'prinzip', 'spannend', 'zeit', 'lachen', 'relativ', 'kind', 'erleben', 'erinnern', 'mauer', 'berlin', 'merken', 'mitbekommen', 'passieren', 'super', 'system', 'gefühl', 'land', '89', 'normal', 'richtung', 'echt', 'wiedervereinigung', 'west', 'familie', 'interessant', 'grenze', 'freund', 'ahnung', 'welt', 'angucken', 'wahrnehmen', 'deutschland', 'schule', 'fühlen', 'komisch', 'unterschied', 'funktionieren', 'ddrzeit', 'aufarbeitung', 'generation', 'aufwachsen', 'diskussion', 'jugendlich', 'dresden', 'überlegen']

